,Corriente L1,Corriente L2,Corriente L3,Flujo Descarga,T° Desc Bba. LL,T° Desc Bba. LA,T° Desc Mot. LL,T° Desc Mot. LL.1,Prox. Bba. LLX,Prox. Bba. LLY,Prox. Bba. LAX,Prox. Bba. LAY,Prox. Mot. LAX,Prox. Mot. LAY,Prox. Mot LLX,Prox. Mot. LLY
2018-11-28 03:15:24.999955200,255.13,264.54,256.97,829.864309624121,49.276712072326994,57.35965872869041,68.03317915377585,73.0,22.180833326357146,8.227500070172251,39.284166666256304,17.592500107105014,14.273603453048095,9.420571075341025,30.59895837151948,14.727631205368445
2018-11-28 03:15:34.999977599,255.13,264.54,256.97,820.5596219580051,49.28073304360876,57.30068842357208,68.0,73.0,22.209166675424008,7.942499911911431,39.28583333384847,17.157499865549024,14.345455129625728,9.749413565112997,29.929822784357295,14.957916870974536
2018-11-28 03:15:45.000000000,255.13,259.26,256.97,810.0372823570459,49.32895833453336,57.34597826260259,68.0,73.0,22.237500001335867,7.657499986562762,39.28750000007857,16.72249997949053,14.04645832589316,9.710833332373312,30.57604168274704,15.4787500129603
2018-11-28 03:48:14.999961600,255.13,259.26,256.97,810.219812918159,49.14322224013262,57.25050723419979,68.0,73.0,21.08249998708663,8.080000071246172,39.890000030279616,16.972500063676264,14.613124891504864,9.58,31.260833188673157,14.774768751582142
2018-11-28 03:48:35.000006399,266.01,269.7,267.14,885.8397248998361,49.05062964099552,57.2677490453975,68.98688247885092,73.0,21.179166653753295,7.5466667379128385,39.66333336361296,16.495833397009594,13.913541730710252,8.739313440015852,29.481049401691926,13.398657563958398
2018-11-28 03:48:45.000028800,266.01,269.7,267.14,906.3491005217523,49.09792182553022,57.25577585875649,68.96527749229749,73.0,21.227500009874927,7.279999945517633,39.549999976844994,16.257499951306382,13.816597276463476,9.157847122304121,28.94,13.459583247689247
2018-11-28 03:48:54.999964800,271.03,275.01,272.43,926.6137880268042,49.146504342686754,57.2438026826531,68.00077161532448,73.0,21.275833323458404,7.0133333878157,39.43666668982168,16.01916671536028,13.999853393088348,8.820270065363566,28.94,13.170231484597341
2018-11-28 03:49:55.000012800,271.03,275.01,272.43,949.6406693445217,49.404915452462895,57.23508454812958,68.0,73.0,21.327499998323617,7.255833310422797,39.79249997485429,17.174166588994357,13.111242134538038,8.65471444351595,29.569791536533128,12.97041692693374
2018-11-28 03:50:05.000035200,272.90500076615825,279.27,272.43,953.476294455172,49.420012078168746,57.21999749746387,68.0,73.0,21.429166694719846,7.23833331871739,39.84333333710519,17.271666661480364,13.409899690007816,8.780200619984363,29.83028549767005,12.450200619984363
2018-11-28 05:50:05.000006400,274.78,279.27,277.95901287557166,978.6715555459969,50.07078306100533,57.5416912740753,69.0,73.0,23.1574998936546,8.786666597795358,39.14666665856416,17.618333298897674,13.490864287986293,8.501141964001713,30.569444647969153,11.47427455002142
2018-11-28 08:09:45.000028800,274.78,279.27,272.02,956.7159382065637,50.361122666558046,57.80323809091013,69.0,73.0,23.849999969720372,9.412499951463545,39.30499999732827,18.447499971946815,13.495486073998672,8.65,30.57638910585391,12.409027852002652
2018-11-28 08:09:54.999964800,274.78,274.19,272.02,959.103090252072,50.36075229631056,57.79001058215269,69.0,73.0,23.736666682697052,9.230833359029104,39.29500000141444,18.342500014851684,13.370100309992182,8.65,31.309413572353396,12.659799380015636
2018-11-28 08:10:04.999987200,270.3,278.81,272.02,961.4902442484464,50.36038192576039,57.776783062585245,69.9637350498773,73.0,23.71083335400869,9.155833343950412,39.21999995306133,18.23666663090388,13.495285556484047,8.727098803990184,30.066781785658286,12.457615639525766
2018-11-28 08:24:14.999990400,270.89,278.22,275.63,953.4592643826072,50.36762930806946,57.734730356227935,69.0,73.0,23.4125,10.837499999999999,38.96,18.93,13.6718750216005,8.49067132109687,30.660208412535162,12.210671321096871
2018-11-28 08:24:25.000012800,270.89,272.76,270.21,952.7621069245176,50.38558908712724,57.73523873454534,69.0,73.0,23.580833425045327,10.875833354218242,39.10666674657415,18.883333307908224,13.41145822199602,8.19167425488432,29.705346813985408,11.91167425488432
2018-11-28 08:24:35.000035200,270.89,277.96,275.39,952.0649500361694,50.40354885150764,57.73574711244727,69.0,73.0,23.749166712522666,10.91416667710912,39.25333337328707,18.83666665395411,13.41,8.276319449695091,30.735833396341103,12.159367299119152
2018-11-28 08:26:25.000022400,270.89,277.96,275.39,957.2115006221783,50.4250253745349,57.741339270998395,69.0,73.014660873064,25.06916671639929,10.65916672981034,39.911666667784246,18.43249998491257,13.50381182699664,8.10454487064984,30.49428225950504,12.17337200080472
2018-11-28 08:26:34.999958400,270.89,272.83,275.39,956.0373991983936,50.42335603601183,57.741847649347754,69.0,73.0,24.920833292925572,10.470833282029096,39.908333332425286,18.47750001225853,13.584027752320347,8.147299413830686,31.04781622083743,12.00862657998172
2018-11-28 08:26:44.999980800,270.89,278.76,275.39,954.863298807935,50.42168669895794,57.74235602724967,69.0,73.0,24.7725,10.2825,39.905,18.5225,13.410416704991762,8.359490693898957,30.112245576900047,12.259398092789676
2018-11-28 08:26:55.000003200,270.89,273.09,275.39,953.6891974579595,50.420017360539816,57.74286440556706,69.9621916373294,73.0,24.624166585851142,10.094166564058195,39.90166666485059,18.567500024517063,13.458109581866468,8.446597247359644,30.754668397010697,11.884745261441532
2018-11-28 08:27:35.000006400,270.89,273.09,270.34,956.5488983010608,50.413340011064975,57.74489791755829,69.01311752114908,74.0,24.054166704516195,10.093333326208716,39.93499999732826,18.852499979962012,13.140524700845964,8.447770021404654,30.508264038323922,12.528950598308072
2018-11-28 08:27:45.000028800,270.89,278.22,275.49,959.2033885088714,50.41167067254191,57.74540629590764,70.0,73.0,23.91249997105624,10.120000005448237,39.94500000204309,18.927500015323165,13.4086110996919,8.5,30.682013823228424,12.336735919839317
2018-11-28 08:28:04.999987200,270.89,278.22,275.49,962.2262189972216,50.445197249624805,57.7464230517115,69.03626579678554,73.0,23.7933332316329,10.225833261598208,39.85666677926357,18.98000006537885,13.186890501389252,8.365077211549975,30.546736078289303,12.374251284282265
2018-11-28 08:28:15.000009600,270.89,273.08,269.96,946.1068241368946,50.47993961303104,57.746931430028894,69.98842583076583,73.01157416923417,23.98,10.3575,39.65,18.86,13.406874974306774,8.448958324768924,29.93712977046657,12.269239114827235
2018-11-28 08:28:25.000032000,270.89,273.08,275.26,950.8421284926512,50.47490740853512,57.74743980793082,69.02391995379281,73.97608004620719,24.16666661581645,10.489166630799104,39.44333338963178,18.740000032689423,13.14645838752406,8.362152795841354,31.364598468386628,12.133369593437516
2018-11-28 08:28:34.999968000,270.89,278.29,275.26,955.5774367182685,50.46970306190106,57.74794818624822,69.0,73.0,24.353333384183546,10.620833369200893,39.23666661036821,18.619999967310576,13.373109601686808,8.359999999999998,29.76679041453251,12.132152801167791
2018-11-28 08:28:55.000012800,270.89,278.29,275.26,964.7640624236415,50.44575670020975,57.74896494246754,69.03626579898445,73.03626579898445,24.726666768367096,10.884166738401792,38.82333322073642,18.379999934621154,13.4132639219086,8.321450631959378,30.206165185827356,12.138341133766424
2018-11-28 08:29:05.000035200,270.89,273.22,275.26,961.9466032354227,50.43378352500923,57.74947332033752,69.99922838467552,73.99922838467552,24.742499978076086,10.918333324375174,38.73166666996704,18.35416667633205,13.49996913538702,8.360138890758403,30.37061729225958,12.359961419233777
2018-11-28 08:29:14.999971200,270.89,273.22,275.26,959.1291436929693,50.42181034830335,57.749981698271405,69.03472244706953,73.03472244706953,24.587500031667876,10.85500001293956,38.754999995232794,18.422499986038893,13.461388897882783,8.533749959527483,31.142222042344375,12.311736122353476
2018-11-28 08:29:24.999993600,270.89,278.3,275.26,956.4845851448952,50.41041063355309,57.74855098567287,70.0,73.0,24.432499968332124,10.791666653727104,38.77833333810054,18.49083334729444,13.323541714339347,8.322885841313543,30.06760812709934,12.133017015918703
2018-11-28 08:30:45.000000000,270.89,278.3,275.26,948.3012497566344,50.456764706058586,57.7365259739733,69.0,73.0,24.78250000935106,10.690000001257284,39.74500000927248,18.452499997092527,13.50270833021326,8.41187499783995,29.643541674106835,12.26
2018-11-28 08:30:55.000022400,270.89,273.28,275.26,961.7576503657242,50.469154600782595,57.73502284806601,70.0,73.02700580876089,24.98083327826597,10.716666659262652,39.94166661206206,18.39083335045512,13.622978489722165,8.361350290438045,30.226497095619543,12.3159412779274
2018-11-28 08:31:05.000044800,270.89,278.31,275.26,960.959437922991,50.438961347234034,57.73351972074131,70.0,73.99151253459564,25.008333295789395,10.632499948922783,40.054166674088144,18.377500009167704,13.372206741005124,8.409575626729785,29.744243732702166,12.528132757611044
2018-11-28 08:47:14.999971199,273.36,278.51,275.37,962.669997944542,50.44243057553917,57.76,69.03472250770251,73.96527749229747,24.36499999387073,10.61750000851287,40.28249999148713,18.947499998978454,13.675138848921648,8.564722096610895,31.475485662907055,12.476110996918996
2018-11-28 08:47:24.999993600,273.36,273.51,275.37,945.9147769788505,50.459574404217456,57.76,69.01311752114908,73.01311752114908,24.395000008015195,10.575833322201118,40.32416667779888,18.952500001335867,13.41,8.366553887213609,30.980686559984143,12.34937480786924
2018-11-28 08:48:55.000022400,273.45,273.65,271.15,961.9605055990008,50.475025497169874,57.76,69.97299419287654,73.02700580712346,23.574166723104817,10.512499994970856,40.185833350655926,18.585000023469327,13.277299419287653,8.277569477358888,30.132684877983706,12.476767154509503
2018-11-28 08:49:04.999958400,273.45,278.75,276.48,951.2641266580465,50.47334809421264,57.76,69.0084875255227,73.99151247447729,23.574166701058655,10.557500015323164,40.15416666428305,18.56750000715081,13.180848752552269,8.19076387729704,30.942870478560938,12.00415888750612
